frame_number,track_id,x1,y1,x2,y2,x_center,y_center
0,2,401.0,401.0,423.0,419.0,412.0,410.0
0,3,241.0,198.0,262.0,227.0,251.5,212.5
0,4,391.0,393.0,420.0,419.0,405.5,406.0
0,5,254.0,260.0,271.0,275.0,262.5,267.5
0,6,566.0,48.0,588.0,66.0,577.0,57.0
0,7,68.0,39.0,111.0,69.0,89.5,54.0
0,8,65.0,40.0,105.0,69.0,85.0,54.5
0,9,384.0,390.0,423.0,424.0,403.5,407.0
0,10,226.0,118.0,247.0,137.0,236.5,127.5
0,11,208.0,440.0,230.0,462.0,219.0,451.0
0,12,205.0,208.0,226.0,220.0,215.5,214.0
0,13,560.0,88.0,577.0,103.0,568.5,95.5
0,14,557.0,171.0,575.0,190.0,566.0,180.5
0,15,204.0,199.0,225.0,214.0,214.5,206.5
0,16,246.0,251.0,261.0,265.0,253.5,258.0
0,17,551.0,99.0,568.0,115.0,559.5,107.0
0,18,412.0,401.0,431.0,419.0,421.5,410.0
0,19,190.0,429.0,211.0,451.0,200.5,440.0
0,20,106.0,198.0,126.0,218.0,116.0,208.0
0,21,580.0,126.0,600.0,146.0,590.0,136.0
0,22,530.0,137.0,550.0,153.0,540.0,145.0
0,23,250.0,266.0,269.0,282.0,259.5,274.0
0,24,93.0,175.0,113.0,195.0,103.0,185.0
0,25,611.0,50.0,628.0,65.0,619.5,57.5
0,26,256.0,141.0,273.0,157.0,264.5,149.0
0,27,71.0,144.0,92.0,164.0,81.5,154.0
0,28,8.0,141.0,30.0,160.0,19.0,150.5
0,29,272.0,3.0,290.0,19.0,281.0,11.0
0,30,344.0,340.0,361.0,357.0,352.5,348.5
0,31,222.0,375.0,248.0,397.0,235.0,386.0
0,32,428.0,53.0,452.0,74.0,440.0,63.5
0,33,210.0,112.0,263.0,154.0,236.5,133.0
0,34,267.0,111.0,287.0,132.0,277.0,121.5
0,35,64.0,111.0,88.0,134.0,76.0,122.5
0,36,238.0,193.0,262.0,213.0,250.0,203.0
0,37,253.0,64.0,273.0,81.0,263.0,72.5
0,38,540.0,348.0,560.0,366.0,550.0,357.0
0,39,507.0,360.0,526.0,380.0,516.5,370.0
0,40,43.0,289.0,69.0,313.0,56.0,301.0
0,41,456.0,388.0,477.0,408.0,466.5,398.0
0,42,401.0,305.0,423.0,323.0,412.0,314.0
0,43,329.0,66.0,349.0,84.0,339.0,75.0
